Particle System
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.261959,0.226763,-0.705393
0.235313,0.462297,0.909837
-0.286372,0.233061,-0.17661
-0.113902,1.62218,-0.509664
0.113198,0.936733,0.981163
0.484454,1.71976,0.447206
0.473827,0.667415,-0.613208
0.148096,0.44829,-0.211727
-0.540943,0.9294,-0.752659
0.168956,0.11843,0.746501
0.523918,0.453525,-1.41079
0.470626,0.924593,1.81967
-0.572743,0.466121,-0.35322
-0.227804,3.24436,-1.01933
0.226396,1.87347,1.96233
0.968907,3.43953,0.894413
0.947654,1.33483,-1.22642
0.296191,0.89658,-0.423454
-1.08189,1.8588,-1.50532
0.337913,0.236861,1.493
0.785877,0.680288,-2.11618
0.705939,1.38689,2.72951
-0.859115,0.699182,-0.529829
-0.341706,4.86654,-1.52899
0.339594,2.8102,2.94349
1.45336,5.15929,1.34162
1.42148,2.00225,-1.83962
0.444287,1.34487,-0.635181
-1.62283,2.7882,-2.25798
0.506869,0.355291,2.2395
1.04784,0.90705,-2.82157
0.941252,1.84919,3.63935
-1.14549,0.932243,-0.706439
-0.455608,6.48872,-2.03865
0.452792,3.74693,3.92465
1.93781,6.87905,1.78883
1.89531,2.66966,-2.45283
0.592383,1.79316,-0.846909
-2.16377,3.7176,-3.01064
0.675825,0.473722,2.986
1.30979,1.13381,-3.52696
1.17656,2.31148,4.54918
-1.43186,1.1653,-0.883049
-0.56951,8.1109,-2.54832
0.56599,4.68366,4.90581
2.42227,8.59882,2.23603
2.36914,3.33708,-3.06604
0.740478,2.24145,-1.05864
-2.70471,4.647,-3.76329
0.844782,0.592152,3.7325
1.57175,1.36058,-4.23236
1.41188,2.77378,5.45902
-1.71823,1.39836,-1.05966
-0.683412,9.73308,-3.05798
0.679188,5.6204,5.88698
2.90672,10.3186,2.68324
2.84296,4.00449,-3.67925
0.888574,2.68974,-1.27036
-3.24566,5.5764,-4.51595
1.01374,0.710583,4.479
1.83371,1.58734,-4.93775
1.64719,3.23608,6.36886
-2.0046,1.63143,-1.23627
-0.797314,11.3553,-3.56765
0.792386,6.55713,6.86814
3.39118,12.0383,3.13044
